"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: randomSourceName","Param: range"
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runPoissonSamplerCache_Cache","avgt",1,20,32560.337628,375.633682,"us/op",SPLIT_MIX_64,4
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runPoissonSamplerCache_Cache","avgt",1,20,32364.240368,251.080143,"us/op",SPLIT_MIX_64,16
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runPoissonSamplerCache_Cache","avgt",1,20,32129.518285,248.042927,"us/op",SPLIT_MIX_64,64
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runPoissonSamplerCache_Cache","avgt",1,20,32102.505377,260.768752,"us/op",SPLIT_MIX_64,256
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runPoissonSamplerCache_Cache","avgt",1,20,31303.864236,278.733116,"us/op",SPLIT_MIX_64,1024
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runPoissonSamplerCache_Cache","avgt",1,20,31179.896259,344.970683,"us/op",SPLIT_MIX_64,4096
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runPoissonSamplerCache_Cache","avgt",1,20,35119.640498,443.678835,"us/op",KISS,4
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runPoissonSamplerCache_Cache","avgt",1,20,35340.006450,657.823762,"us/op",KISS,16
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runPoissonSamplerCache_Cache","avgt",1,20,34793.478306,276.647395,"us/op",KISS,64
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runPoissonSamplerCache_Cache","avgt",1,20,34660.933751,301.806875,"us/op",KISS,256
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runPoissonSamplerCache_Cache","avgt",1,20,35063.256894,416.129065,"us/op",KISS,1024
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runPoissonSamplerCache_Cache","avgt",1,20,36145.919869,419.204770,"us/op",KISS,4096
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runPoissonSamplerCache_Cache","avgt",1,20,39215.065537,1124.011916,"us/op",WELL_1024_A,4
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runPoissonSamplerCache_Cache","avgt",1,20,39212.626521,1105.760967,"us/op",WELL_1024_A,16
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runPoissonSamplerCache_Cache","avgt",1,20,38796.944187,1308.499795,"us/op",WELL_1024_A,64
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runPoissonSamplerCache_Cache","avgt",1,20,38305.671429,1091.772539,"us/op",WELL_1024_A,256
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runPoissonSamplerCache_Cache","avgt",1,20,36468.270770,1010.492186,"us/op",WELL_1024_A,1024
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runPoissonSamplerCache_Cache","avgt",1,20,39690.430447,1299.631120,"us/op",WELL_1024_A,4096
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runPoissonSamplerCache_Cache","avgt",1,20,42245.929913,871.566906,"us/op",WELL_44497_B,4
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runPoissonSamplerCache_Cache","avgt",1,20,42296.926730,1040.194267,"us/op",WELL_44497_B,16
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runPoissonSamplerCache_Cache","avgt",1,20,41888.999279,1041.957194,"us/op",WELL_44497_B,64
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runPoissonSamplerCache_Cache","avgt",1,20,41778.019112,1265.284258,"us/op",WELL_44497_B,256
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runPoissonSamplerCache_Cache","avgt",1,20,40288.292433,1179.769126,"us/op",WELL_44497_B,1024
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runPoissonSamplerCache_Cache","avgt",1,20,42649.763430,1463.834246,"us/op",WELL_44497_B,4096
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runPoissonSamplerCache_NoCache","avgt",1,20,51812.550695,278.326725,"us/op",SPLIT_MIX_64,4
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runPoissonSamplerCache_NoCache","avgt",1,20,50250.990615,233.096880,"us/op",SPLIT_MIX_64,16
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runPoissonSamplerCache_NoCache","avgt",1,20,50141.524202,260.518426,"us/op",SPLIT_MIX_64,64
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runPoissonSamplerCache_NoCache","avgt",1,20,49578.031067,426.603533,"us/op",SPLIT_MIX_64,256
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runPoissonSamplerCache_NoCache","avgt",1,20,49907.092346,365.892867,"us/op",SPLIT_MIX_64,1024
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runPoissonSamplerCache_NoCache","avgt",1,20,48098.166739,258.886226,"us/op",SPLIT_MIX_64,4096
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runPoissonSamplerCache_NoCache","avgt",1,20,55132.656026,499.861701,"us/op",KISS,4
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runPoissonSamplerCache_NoCache","avgt",1,20,53226.574181,363.758630,"us/op",KISS,16
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runPoissonSamplerCache_NoCache","avgt",1,20,54673.658822,1924.027856,"us/op",KISS,64
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runPoissonSamplerCache_NoCache","avgt",1,20,53407.885766,416.190491,"us/op",KISS,256
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runPoissonSamplerCache_NoCache","avgt",1,20,53188.552620,220.424548,"us/op",KISS,1024
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runPoissonSamplerCache_NoCache","avgt",1,20,52895.907331,541.353295,"us/op",KISS,4096
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runPoissonSamplerCache_NoCache","avgt",1,20,58123.904727,894.223172,"us/op",WELL_1024_A,4
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runPoissonSamplerCache_NoCache","avgt",1,20,58136.851477,1178.520429,"us/op",WELL_1024_A,16
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runPoissonSamplerCache_NoCache","avgt",1,20,57517.762529,1061.589254,"us/op",WELL_1024_A,64
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runPoissonSamplerCache_NoCache","avgt",1,20,55203.978941,1019.163429,"us/op",WELL_1024_A,256
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runPoissonSamplerCache_NoCache","avgt",1,20,56022.337669,1205.927845,"us/op",WELL_1024_A,1024
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runPoissonSamplerCache_NoCache","avgt",1,20,55647.691974,1043.191234,"us/op",WELL_1024_A,4096
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runPoissonSamplerCache_NoCache","avgt",1,20,62420.455924,794.080833,"us/op",WELL_44497_B,4
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runPoissonSamplerCache_NoCache","avgt",1,20,62015.260515,862.632278,"us/op",WELL_44497_B,16
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runPoissonSamplerCache_NoCache","avgt",1,20,60102.351318,800.579005,"us/op",WELL_44497_B,64
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runPoissonSamplerCache_NoCache","avgt",1,20,60138.994141,693.672191,"us/op",WELL_44497_B,256
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runPoissonSamplerCache_NoCache","avgt",1,20,59666.803413,749.270872,"us/op",WELL_44497_B,1024
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runPoissonSamplerCache_NoCache","avgt",1,20,57371.670386,1686.898876,"us/op",WELL_44497_B,4096
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runPoissonSamplerCache_SyncCache","avgt",1,20,30773.540723,167.947468,"us/op",SPLIT_MIX_64,4
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runPoissonSamplerCache_SyncCache","avgt",1,20,30719.197362,136.429783,"us/op",SPLIT_MIX_64,16
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runPoissonSamplerCache_SyncCache","avgt",1,20,30833.321814,278.234018,"us/op",SPLIT_MIX_64,64
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runPoissonSamplerCache_SyncCache","avgt",1,20,30912.395208,1179.085498,"us/op",SPLIT_MIX_64,256
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runPoissonSamplerCache_SyncCache","avgt",1,20,30625.610233,275.320792,"us/op",SPLIT_MIX_64,1024
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runPoissonSamplerCache_SyncCache","avgt",1,20,32131.701968,316.318488,"us/op",SPLIT_MIX_64,4096
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runPoissonSamplerCache_SyncCache","avgt",1,20,33454.815558,181.715092,"us/op",KISS,4
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runPoissonSamplerCache_SyncCache","avgt",1,20,33602.959545,280.274420,"us/op",KISS,16
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runPoissonSamplerCache_SyncCache","avgt",1,20,33335.400705,220.033169,"us/op",KISS,64
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runPoissonSamplerCache_SyncCache","avgt",1,20,33475.125072,274.000283,"us/op",KISS,256
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runPoissonSamplerCache_SyncCache","avgt",1,20,34104.024943,412.942901,"us/op",KISS,1024
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runPoissonSamplerCache_SyncCache","avgt",1,20,35097.290396,236.021186,"us/op",KISS,4096
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runPoissonSamplerCache_SyncCache","avgt",1,20,37775.298574,1113.597869,"us/op",WELL_1024_A,4
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runPoissonSamplerCache_SyncCache","avgt",1,20,37655.077884,1080.969705,"us/op",WELL_1024_A,16
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runPoissonSamplerCache_SyncCache","avgt",1,20,38713.533722,2556.787897,"us/op",WELL_1024_A,64
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runPoissonSamplerCache_SyncCache","avgt",1,20,38599.632593,1131.148406,"us/op",WELL_1024_A,256
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runPoissonSamplerCache_SyncCache","avgt",1,20,37086.879101,1174.252432,"us/op",WELL_1024_A,1024
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runPoissonSamplerCache_SyncCache","avgt",1,20,40326.085972,1093.459672,"us/op",WELL_1024_A,4096
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runPoissonSamplerCache_SyncCache","avgt",1,20,43270.790921,1047.072790,"us/op",WELL_44497_B,4
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runPoissonSamplerCache_SyncCache","avgt",1,20,42883.214659,1316.927751,"us/op",WELL_44497_B,16
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runPoissonSamplerCache_SyncCache","avgt",1,20,42540.111389,1195.633013,"us/op",WELL_44497_B,64
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runPoissonSamplerCache_SyncCache","avgt",1,20,42153.783068,1280.854485,"us/op",WELL_44497_B,256
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runPoissonSamplerCache_SyncCache","avgt",1,20,42472.390336,1060.747954,"us/op",WELL_44497_B,1024
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runPoissonSamplerCache_SyncCache","avgt",1,20,44641.060236,1026.583323,"us/op",WELL_44497_B,4096
